Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Available,Backorder,Unit Price,Extended Price USD,,,,,,,,,,,,,,,,
1,2,448-IR2302STRPBFCT-ND,IR2302STRPBF,IC GATE DRVR HALF-BRIDGE 8SOIC,,2,0,2.55,5.10,,,,,,,,,,,,,,,,
2,12,BAT46CT-ND,BAT46-TR,DIODE SCHOTTKY 100V 150MA DO35,,12,0,0.331,3.97,,,,,,,,,,,,,,,,
3,4,IRF540NPBF-ND,IRF540NPBF,MOSFET N-CH 100V 33A TO220AB,,4,0,1.35,5.40,,,,,,,,,,,,,,,,
4,4,296-TMCS1108A4BQDTCT-ND,TMCS1108A4BQDT,SENSOR CURRENT HALL  5.6A 8SOIC,,4,0,2.83,11.32,,,,,,,,,,,,,,,,
5,2,M8843-ND,2319-H-RC,FIXED IND 390UH 5A 72 MOHM TH,,2,0,4.66,9.32,,,,,,,,,,,,,,,,
6,4,493-15918-ND,URS2A331MHD,CAP ALUM 330UF 20% 100V RADIAL,,4,0,1.78,7.12,,,,,,,,,,,,,,,,
7,6,PPC10.0KXCT-ND,SFR16S0001002FR500,RES 10K OHM 1/2W 1% AXIAL,,6,0,0.25,1.50,,,,,,,,,,,,,,,,
8,4,ED2580-ND,OSTTA024163,TERM BLK 2P SIDE ENT 5.08MM PCB,,4,0,0.76,3.04,,,,,,,,,,,,,,,,
9,4,2057-PH1-20-UA-ND,PH1-20-UA,CONN HEADER VERT 20POS 2.54MM,,4,0,0.32,1.28,,,,,,,,,,,,,,,,
10,2,1528-1785-ND,2222,GPIO FEMALE HEADER RASPBERRY PI,,2,0,1.5,3.00,,,,,,,,,,,,,,,,
11,4,160-1939-ND,LTL1BEKVJNN,LED GREEN/RED DIFFUSED T/H,,4,0,0.37,1.48,,,,,,,,,,,,,,,,
12,2,296-49723-ND,LM393PE3,IC COMPARATOR DIFF DUAL 8DIP,,2,0,0.42,0.84,,,,,,,,,,,,,,,,
13,2,TC74HC02APF-ND,TC74HC02APF,IC GATE NOR 4CH 2-INP 14DIP,,2,0,0.46,0.92,,,,,,,,,,,,,,,,
14,2,2151-AS-16.000-18-ND,AS-16.000-18,CRYSTAL 16.0000MHZ 18PF TH,,2,0,0.18,0.36,,,,,,,,,,,,,,,,
15,4,399-4220-ND,C317C220J2G5TA,CAP CER 22PF 200V NP0 RADIAL,,4,0,0.19,0.76,,,,,,,,,,,,,,,,
16,2,2725-K78U05-500R3-ND,K78U05-500R3,DC/DC CONVERTER 5V,,2,0,2.89,5.78,,,,,,,,,,,,,,,,
